ID,NAME,DESCRIPTION
ukbench00215,Sleeveless Dress,"Fitted, sleeveless dress in thick stretch jersey with a printed pattern. Decorative cut-out section and full-length visible zip at back. Unlined."
ukbench00216,Sleeveless Dress,"Sleeveless dress in woven fabric with a printed pattern. Seam at waist, buttons at back, and gently flared skirt. Unlined."
ukbench00217,Jumpsuit,"Jumpsuit in woven fabric with narrow, adjustable shoulder straps. Short legs, elasticized waistband, and side pockets."
ukbench00218,Long Camisole Top,"Long, fitted camisole top in jersey with narrow adjustable shoulder straps."
ukbench00219,Long Camisole Top,"Long, fitted camisole top in jersey with narrow adjustable shoulder straps."
ukbench00220,Long Camisole Top,"Long, fitted camisole top in jersey with narrow adjustable shoulder straps."
ukbench00221,Long Camisole Top,"Long, fitted camisole top in jersey with narrow adjustable shoulder straps."
ukbench00222,Long Camisole Top,"Long, fitted camisole top in jersey with narrow adjustable shoulder straps."
ukbench00223,Cropped Jersey Top,"Wide-cut, cropped jersey top. Short sleeves with sewn cuffs."
ukbench00224,A-line Top,"A-line top in jersey with short, slightly wider sleeves and a longer back section."
ukbench00225,Jersey Top,Short-sleeved jersey top with rounded hem and ribbed cuffs.
ukbench00226,Jersey Top,Short-sleeved jersey top with rounded hem and ribbed cuffs.
ukbench00227,Tailored Jacket,Gently tailored jacket with narrow lapels and welt pockets at front. No buttons. Lined.
ukbench00228,MAMA Short-sleeved Blouse,"Short-sleeved top in woven, lightly Cr?ped fabric with a chest pocket. Small opening at back of neck with button."
ukbench00229,Long Tank Top,"Long, gently flared racerback tank top in jersey."
ukbench00230,Long Tank Top,"Long, gently flared racerback tank top in jersey."
ukbench00231,Long Tank Top,"Long, gently flared racerback tank top in jersey."
ukbench00232,Long Tank Top,"Long, gently flared racerback tank top in jersey."
ukbench00233,Long Tank Top,"Long, gently flared racerback tank top in jersey."
ukbench00234,Slim-fit Pants,Slim-fit pants in stretch fabric with a regular waist and side zip.
ukbench00235,Slim-fit Pants,Slim-fit pants in stretch fabric with a regular waist and side zip.
ukbench00236,Jersey Skirt,Short skirt in jersey with an elasticized waistband.
ukbench00237,Jersey Skirt,Short skirt in jersey with an elasticized waistband.
ukbench00238,Jersey Jumpsuit,"Jumpsuit in jersey with narrow shoulder straps, elasticized seam at waist, and short legs."
ukbench00239,Jersey Jumpsuit,"Jumpsuit in jersey with narrow shoulder straps, elasticized seam at waist, and short legs."
ukbench00240,Jersey Jumpsuit,"Jumpsuit in jersey with narrow shoulder straps, elasticized seam at waist, and short legs."
ukbench00241,Slim-fit Pants High waist,"Pants in superstretch washed twill. Slim legs, high waist, mock front pockets, and regular back pockets."
ukbench00242,Cr?pe Jacket,"Jacket in woven Cr?pe fabric. Slightly longer front section, side pockets with visible zip, and no buttons. Lined."
ukbench00243,Cr?pe Jacket,"Jacket in woven Cr?pe fabric. Slightly longer front section, side pockets with visible zip, and no buttons. Lined."
ukbench00244,Loose-knit Cardigan,"Long, loose-knit cardigan with draped panels at front and no buttons."
ukbench00245,Circle Skirt,Short circle skirt in stretch jersey with wide elastication at waist. Unlined.
ukbench00246,Circle Skirt,Short circle skirt in stretch jersey with wide elastication at waist. Unlined.
ukbench00247,Jersey Top,Fitted basic top in soft stretch jersey with round neckline and short sleeves.
